idx,ref,rank,is_top1,is_oracle,entity_recall,cer,hotword_only_cer,total_score,asr_score,exact_score,phonetic_score,consensus_score,consensus_score_used,consensus_support,consensus_keywords,pred
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,1,True,True,0.0,0.08333333333333333,0.3333333333333333,1.0,-0.38330078125,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研修所副所长邓玉松认为
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,2,False,False,0.0,0.08333333333333333,0.3333333333333333,0.33518005540166207,-0.44189453125,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研教所副所长邓玉松认为
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,3,False,False,0.0,0.08333333333333333,0.3333333333333333,0.31301939058171746,-0.44384765625,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研构所副所长邓玉松认为
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,4,False,False,0.0,0.08333333333333333,0.3333333333333333,0.3074792243767313,-0.4443359375,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研求所副所长邓玉松认为
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,5,False,False,0.0,0.08333333333333333,0.3333333333333333,0.29085872576177285,-0.44580078125,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研救所副所长邓玉松认为
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,6,False,False,0.0,0.08333333333333333,0.3333333333333333,0.25761772853185594,-0.44873046875,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研修所副所长邓裕松认为
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,7,False,False,0.0,0.08333333333333333,0.3333333333333333,0.1523545706371191,-0.4580078125,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研修所副所长邓育松认为
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,8,False,False,0.0,0.08333333333333333,0.3333333333333333,0.04155124653739612,-0.4677734375,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研极所副所长邓玉松认为
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,9,False,False,0.0,0.08333333333333333,0.3333333333333333,0.0,-0.471435546875,0.0,0.0,0.0,0.0,0,,国务院发展研究中心市场经济研发所副所长邓玉松认为
1,本报记者王颖春国家发改委近日发出通知,1,True,False,0.0,0.05555555555555555,0.3333333333333333,1.0,-0.062408447265625,0.0,0.0,0.0,0.0,0,,本报记者王莹春国家发改委近日发出通知
1,本报记者王颖春国家发改委近日发出通知,2,False,True,1.0,0.0,0.0,0.669105542344979,-0.11761474609375,0.0,0.0,0.0,0.0,0,,本报记者王颖春国家发改委近日发出通知
1,本报记者王颖春国家发改委近日发出通知,3,False,False,0.0,0.05555555555555555,0.3333333333333333,0.65739893908908,-0.11956787109375,0.0,0.0,0.0,0.0,0,,本报记者王盈春国家发改委近日发出通知
1,本报记者王颖春国家发改委近日发出通知,4,False,False,0.0,0.1111111111111111,0.3333333333333333,0.3687580025608195,-0.167724609375,0.0,0.0,0.0,0.0,0,,本报记者王莹春国加发改委近日发出通知
1,本报记者王颖春国家发改委近日发出通知,5,False,False,1.0,0.05555555555555555,0.0,0.32558990305469176,-0.1749267578125,0.0,0.0,0.0,0.0,0,,本报记者王颖春国加发改委近日发出通知
1,本报记者王颖春国家发改委近日发出通知,6,False,False,0.0,0.1111111111111111,0.3333333333333333,0.23340040241448692,-0.1903076171875,0.0,0.0,0.0,0.0,0,,本报记者王盈春国加发改委近日发出通知
1,本报记者王颖春国家发改委近日发出通知,7,False,False,0.0,0.05555555555555555,0.3333333333333333,0.18072068776294128,-0.1990966796875,0.0,0.0,0.0,0.0,0,,本报记者王迎春国家发改委近日发出通知
1,本报记者王颖春国家发改委近日发出通知,8,False,False,0.0,0.05555555555555555,0.3333333333333333,0.0,-0.229248046875,0.0,0.0,0.0,0.0,0,,本报记者王赢春国家发改委近日发出通知
2,新京报讯记者钟晶晶发改委昨日表示,1,True,True,1.0,0.0,0.0,1.0,-0.2177734375,0.0,0.0,0.0,0.0,0,,新京报讯记者钟晶晶发改委昨日表示
2,新京报讯记者钟晶晶发改委昨日表示,2,False,False,1.0,0.0625,0.0,0.8223443223443223,-0.2296142578125,0.0,0.0,0.0,0.0,0,,新京报训记者钟晶晶发改委昨日表示
2,新京报讯记者钟晶晶发改委昨日表示,3,False,False,1.0,0.125,0.0,0.5018315018315018,-0.2509765625,0.0,0.0,0.0,0.0,0,,新京报训记者钟晶晶发改为昨日表示
2,新京报讯记者钟晶晶发改委昨日表示,4,False,False,1.0,0.0625,0.0,0.02564102564102564,-0.28271484375,0.0,0.0,0.0,0.0,0,,新京报讯息记者钟晶晶发改委昨日表示
2,新京报讯记者钟晶晶发改委昨日表示,5,False,False,1.0,0.0625,0.0,0.0,-0.284423828125,0.0,0.0,0.0,0.0,0,,新京报宣记者钟晶晶发改委昨日表示
3,此次以16700000000美元收购拓朗,1,True,True,1.0,0.0,0.0,1.0,-0.1461181640625,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购拓朗
3,此次以16700000000美元收购拓朗,2,False,False,1.0,0.1,1.0,0.8988464951197871,-0.1600341796875,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购脱了
3,此次以16700000000美元收购拓朗,3,False,False,1.0,0.1,1.0,0.7701863354037267,-0.177734375,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购脱缆
3,此次以16700000000美元收购拓朗,4,False,False,1.0,0.1,1.0,0.3779946761313221,-0.231689453125,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购脱廊
3,此次以16700000000美元收购拓朗,5,False,False,1.0,0.1,1.0,0.34072759538598046,-0.23681640625,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购脱狼
3,此次以16700000000美元收购拓朗,6,False,False,1.0,0.1,1.0,0.2688553682342502,-0.2467041015625,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购脱浪
3,此次以16700000000美元收购拓朗,7,False,False,1.0,0.1,1.0,0.21472937000887313,-0.254150390625,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购脱篮
3,此次以16700000000美元收购拓朗,8,False,False,1.0,0.1,1.0,0.16858917480035493,-0.260498046875,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购脱老
3,此次以16700000000美元收购拓朗,9,False,False,1.0,0.05,0.5,0.15794143744454303,-0.261962890625,0.0,0.0,0.0,0.0,0,,此次以16700000000美元收购拓廊
